Patient	notAligned	aligned	true
1	84	1073	826
2	611	2863	4029
3	121	3200	4271
4	6207	8802	6737
5	5	1387	6223
6	0	511	1157
7	1943	6046	6964
8	866	2456	5257
9	2766	2362	2314
10	272	4224	6893
11	2527	11717	1845
12	8290	7093	1459
13	3576	1217	1408
14	1585	736	3980
15	3563	1875	3335
16	696	570	1703
17	3226	3940	3268
18	2421	1085	6268
19	2081	1694	3121
20	18710	6903	8581
21	3373	4638	6158
22	1692	3334	390
23	1712	1491	1202
24	5667	4552	4411
25	1236	723	5261
26	3609	2250	6718
Mean
2955.346153846154 3336.230769230769
